record_id,truth_group,adjudication
MAT-SAP-0001,GT-001,CM04B-060 mechanical seal
MAT-SAP-0002,GT-002,CM04B-050 mechanical seal
MAT-SAP-0003,GT-003,double-face bellows mechanical seal
MAT-SAP-0004,GT-004,SKF 6312 C3 bearing
MAT-SAP-0005,GT-005,FAG 6312-2RS1 bearing
MAT-SAP-0006,GT-006,6312 bearing housing assembly
MAT-SAP-0007,GT-007,Z41H DN150 gate valve
MAT-SAP-0008,GT-008,Z41W DN100 gate valve
MAT-SAP-0009,GT-009,electric DN200 gate valve
MAT-SAP-0010,GT-010,FKM ID180 CS5.3 O-ring
MAT-SAP-0011,GT-011,NBR ID200 CS7 O-ring
MAT-SAP-0012,GT-012,FKM 190x5.7 O-ring
MAT-SAP-0013,GT-013,Rosemount 3051GP transmitter
MAT-SAP-0014,GT-014,Yokogawa EJA530A transmitter
MAT-SAP-0015,GT-015,Honeywell STG94L transmitter
MAT-SAP-0016,GT-016,WN DN80 304L flange
MAT-SAP-0017,GT-017,PL DN150 Q235B flange
MAT-SAP-0018,GT-018,BL DN100 304 flange
MAT-SAP-0019,GT-019,YB3-132M-4 motor
MAT-SAP-0020,GT-020,YB3-160L-6 motor
MAT-SAP-0021,GT-021,HP3202A10AN filter
MAT-SAP-0022,GT-022,PAF-1-0.02 filter
MAT-SAP-0023,GT-023,Shell Tellus S2 VX 46 oil
MAT-SAP-0024,GT-024,Mobil Delvac 15W-40 oil
MAT-SAP-0025,GT-025,M20x110 stud bolt
MAT-SAP-0026,GT-026,M16x70 hex bolt
MAT-SAP-0027,GT-027,M24x150 stud bolt
MAT-EAM-0001,GT-001,CM04B-060 mechanical seal
MAT-EAM-0002,GT-002,CM04B-050 mechanical seal
MAT-EAM-0003,GT-003,double-face bellows mechanical seal
MAT-EAM-0004,GT-004,SKF 6312 C3 bearing
MAT-EAM-0005,GT-005,FAG 6312-2RS1 bearing
MAT-EAM-0006,GT-006,6312 bearing housing assembly
MAT-EAM-0007,GT-007,Z41H DN150 gate valve
MAT-EAM-0008,GT-008,Z41W DN100 gate valve
MAT-EAM-0009,GT-009,electric DN200 gate valve
MAT-EAM-0010,GT-010,FKM ID180 CS5.3 O-ring
MAT-EAM-0011,GT-011,NBR ID200 CS7 O-ring
MAT-EAM-0012,GT-012,FKM 190x5.7 O-ring
MAT-EAM-0013,GT-013,Rosemount 3051GP transmitter
MAT-EAM-0014,GT-014,Yokogawa EJA530A transmitter
MAT-EAM-0015,GT-015,Honeywell STG94L transmitter
MAT-EAM-0016,GT-016,WN DN80 304L flange
MAT-EAM-0017,GT-017,PL DN150 Q235B flange
MAT-EAM-0018,GT-018,BL DN100 304 flange
MAT-EAM-0019,GT-019,YB3-132M-4 motor
MAT-EAM-0020,GT-020,YB3-160L-6 motor
MAT-EAM-0021,GT-021,HP3202A10AN filter
MAT-EAM-0022,GT-022,PAF-1-0.02 filter
MAT-EAM-0023,GT-023,Shell Tellus S2 VX 46 oil
