物料编码,系统来源,物料名称,物料描述,物料分类,计量单位,创建时间
MAT-SAP-0001,SAP,机械密封,机械密封 CM04B-060 不锈钢 316L 用于离心泵,密封件,套,2024-01-15
MAT-SAP-0002,SAP,机械密封,机械密封 CM04B-050 碳化硅 合金 用于热水泵,密封件,套,2024-02-20
MAT-SAP-0003,SAP,机械密封,机械密封 双端面 波纹管 不锈钢 304 用于重油泵,密封件,套,2024-03-10
MAT-SAP-0004,SAP,轴承,滚动轴承 SKF 6312 C3 深沟球,轴承,个,2024-01-05
MAT-SAP-0005,SAP,轴承,滚动轴承 FAG 6312-2RS1 密封型,轴承,个,2024-02-14
MAT-SAP-0006,SAP,轴承,轴承箱总成 含 SKF 6312 轴承 端盖 油封,轴承箱,套,2024-03-22
MAT-SAP-0007,SAP,闸阀,闸阀 Z41H-16C DN150 法兰连接 铸钢,阀门,台,2024-01-20
MAT-SAP-0008,SAP,闸阀,闸阀 Z41W-16P DN100 不锈钢 304 手动,阀门,台,2024-02-28
MAT-SAP-0009,SAP,闸阀,电动闸阀 Z941H-25 DN200 带防爆电装,阀门,台,2024-04-01
MAT-SAP-0010,SAP,O型圈,O型密封圈 氟橡胶 内径 180mm 线径 5.3mm,密封件,个,2024-01-12
MAT-SAP-0011,SAP,O型圈,O型密封圈 丁腈橡胶 内径 200mm 线径 7mm,密封件,个,2024-02-18
MAT-SAP-0012,SAP,O型圈,O型圈 氟橡胶 190*5.7 耐高温,密封件,个,2024-03-25
MAT-SAP-0013,SAP,压力变送器,压力变送器 罗斯蒙特 3051GP 量程 0-1.6MPa 4-20mA,仪表,台,2024-01-08
MAT-SAP-0014,SAP,压力变送器,压力变送器 横河 EJA530A 0-2.5MPa 带 LCD 显示,仪表,台,2024-02-22
MAT-SAP-0015,SAP,压力变送器,智能压力变送器 霍尼韦尔 STG94L 0-4.0MPa,仪表,台,2024-04-05
MAT-SAP-0016,SAP,法兰,法兰 WN 80-16 RF 304L 对焊,管件,片,2024-01-18
MAT-SAP-0017,SAP,法兰,法兰 PL 150-10 RF Q235B 平焊,管件,片,2024-02-25
MAT-SAP-0018,SAP,法兰,法兰盖 BL 100-16 RF 不锈钢 304,管件,片,2024-03-15
MAT-SAP-0019,SAP,防爆电机,防爆电机 YB3-132M-4 7.5KW ExdⅡBT4,电机,台,2024-01-22
MAT-SAP-0020,SAP,防爆电机,防爆电机 YB3-160L-6 11KW ExdⅡCT4 立式,电机,台,2024-02-10
MAT-SAP-0021,SAP,滤芯,滤芯 液压油滤芯 HP3202A10AN,滤材,个,2024-01-28
MAT-SAP-0022,SAP,滤芯,滤芯 空气滤清器 滤芯 PAF-1-0.02,滤材,个,2024-03-08
MAT-SAP-0023,SAP,润滑油,润滑油 壳牌 得力士 S2 VX 46 液压油 209L,油品,桶,2024-02-01
MAT-SAP-0024,SAP,润滑油,润滑油 美孚 黑霸王 15W-40 柴油机油 18L,油品,桶,2024-03-18
MAT-SAP-0025,SAP,螺栓,螺栓 双头螺栓 M20×110 35CrMoA 带螺母垫片,紧固件,套,2024-01-10
MAT-SAP-0026,SAP,螺栓,螺栓 六角螺栓 M16×70 8.8级 镀锌,紧固件,个,2024-02-05
MAT-SAP-0027,SAP,螺栓,螺栓 螺柱 M24×150 35CrMoA 全螺纹,紧固件,套,2024-03-12
MAT-EAM-0001,EAM,机封,离心泵机封 CM04B-060 316SS 冲洗方案PLAN32,机泵备件,EA,2024-01-16
MAT-EAM-0002,EAM,机封,热水循环泵机封 CM04B-050 碳化硅/碳化硅,机泵备件,EA,2024-02-21
