物料编码,物料名称,物料描述,物料类别,物料子类,计量单位,参考价格,库存数量,供应商,规格型号,状态
MAT-0201-4507,NSK 深沟球轴承 17x30  x8mm,  NSK 深沟球轴承 17x30x8mm，国产，非标定制  ,轴承,深沟球轴承,个,1499.56,111,供应商B,深沟球轴承 17x30x8mm,启用
MAT-0406-8929,铆钉 M24x35 12.9级,铆钉 M24x35 12.9级，进口，标准件,紧固件,铆钉,PCS,34909.99,174,供应商C,M24x35 12.9级,启用
MAT-0403-1675,垫圈 M8x50 4.8级,垫圈 M8x50 4.8级，进口，非标定制,紧固件,垫圈,kg,40358.34,373,供应商D,M8x50 4.8级,启用
MAT-0701-9045,弯头 DN●40 Q235B ASME B16.9,弯头 DN40 Q235B ASME B16.9，国产，标准件,管件,弯头,个,33066.55,395,供应商C,DN40 Q235B ASME B16.9,启用
MAT-0401-6228,螺栓 M16x60 10.9级,螺栓 M16x60 10.9级，国产，非标定制,紧固件,螺栓,只,10483.26,136,供应商A,M16x60 10.9级,启用
MAT-0402-7574,螺母 M24x40 8.8级,螺母 M24x40 8.8级，进口，标准件,紧固件,螺母,米,41091.91,412,供应商C,M24x40 8.8级,停用
MAT-0501-3457,离心泵 30m³/h 50m,离心泵 30m³/h 50m，进口，非标定制,电机,三相异步电机,根,7152.15,71,供应商B,30m³/h 50m,启用
MAT-0705-6544,管帽 DN50 304 HG/T,管帽 DN50 304 HG/T，进口，标准件,管件,管帽,个,43056.53,78,供应商B,DN50 304 HG/T,停用
MAT-0204-6253,INA 角接触球轴承 35x66x11mm,INA 角接触球轴承 35x66x11mm，国产，标准件,轴承,角接触球轴承,组,37546.38,393,供应商C,角接触球轴承 35x66x11mm,启用
MAT-0504-2592,隔膜泵 80m³/h   20m,  隔膜泵 80m³/h 20m，进口，标准件  ,泵类,隔膜泵,组,45632.27,445,供应商C,80m³/h 20m,启用
MAT-0303-2647,油封 DN200 石墨,油封 DN200 石墨，国产，非标定制,密封件,油封,根,983.64,475,供应商C,DN200 石墨,启用
MAT-0401-3947,螺栓 M8x25 12.9级,螺栓 M8x25 12.9级，国产，标准件,紧固件,螺栓,件,32990.94,484,,M8x25 12.9级,启用
MAT-0505-9939,计量泵 50m³/h 50m,计量泵 50m³/h 50m，国产，非标定制,泵类,计量泵,片,49757.52,332,供应商C,50m³/h 50m,停用
MAT-0801-4062,压力表 0-2.5MPa,压力表 0-2.5MPa，国产，非标定制,仪表,压力表,个,0,117,,0-2.5MPa,启用
MAT-0102-0965,截止阀 DN20 PN10 CF8,截止阀 DN20 PN10 CF8，进口，标准件,阀门,截止阀,组,11907.85,342,供应商D,DN20 PN10 CF8,启用
MAT-0306-9356,骨架油封 DN150 石墨,骨架油封 DN150 石墨，国产，非标定制,密封件,骨架油封,片,9528.59,49,供应商D,DN150 石墨,启用
MAT-0704-7652,异径管 DN300 20# GB/T,异径管 DN300 20# GB/T，国产，非标定制,管件,异径管,只,40031.62,55,供应商B,,启用
MAT-DUP-8529,挡圈 M10x50 8.8级,挡圈 M10x50 8.8级，进口，非标定制,紧固件,挡圈,米,43725.55,38,供应商D,M10x50 8.8级,启用
MAT-0101-1529,闸阀 DN25 Clas※s150 CF8,闸阀 DN25 Class150 CF8，进口，非标定制,阀门,闸阀,米,43233.87,462,供应商A,DN25 Class150 CF8,启用
MAT-0701-6397,弯头 DN40 A105 ASME B16.9,弯头 DN40 A105 ASME B16.9，进口，非标定制,管件,弯头,件,9502.99,111,供应商A,DN40 A105 ASME B16.9,启用
MAT-0601-0822,三相异步电机 15kW 1140V,三相异步电机 15kW 1140V，国产，标准件,电机,三相异步电机,组,4014.77,95,供应商A,15kW 1140V,启用
MAT-0404-1965,销钉 M12x80 4.8级,销钉 M12x80 4.8级，国产，非标定制,电机,三相异步电机,组,15825.33,133,供应商B,M12x80 4.8级,启用
MAT-0403-6485,Washer M10x100 10.9级,垫圈 M10x100 10.9级，进口，非标定制,紧固件,垫圈,套,475.68,318,,M10x100 10.9级,启用
MAT-0205-3493,INA 调心滚子轴承 20x33x12mm,INA 调心滚子轴承 20x33x12mm，国产，标准件,泵类,隔膜泵,只,14256.52,224,,调心滚子轴承 20x33x12mm,启用
MAT-0105-1698,止回阀 DN40 PN16 CF8,止回阀 DN40 PN16 CF8，国产，标准件,阀门,止回阀,kg,14095.0,107,供应商C,DN40 PN16 CF8,启用
MAT-0505-8005,计量泵 25m³/h 20m,计量泵 25m³/h 20m，国产，非标定制,泵类,计量泵,,2213.9,170,供应商B,25m³/h 20m,启用
MAT-0306-7240,骨架油封 DN150 石墨,骨架油封 DN150 石墨，国产，标准件,密封件,骨架油封,套,47253.1,353,供应商B,DN150 石墨,启用
MAT-0605-9053,防爆电机 2.2kW 660V,防爆电机 2.2kW 660V，国产，标准件,电机,防爆电机,kg,18238.93,477,,2.2kW 660V,启用
MAT-0406-4089,铆钉 M8x45 12.9级,铆钉 M8x45 12.9级，国产，标准件,紧固件,铆钉,件,48810.54,415,供应商B,M8x45 12.9级,停用
MAT-0103-5443,球阀 DN250 PN40 WC6,球阀 DN250 PN40 WC6，进口，标准件,阀门,球阀,套,19133.26,19,供应商D,DN250 PN40 WC6,启用
MAT-0404-5729,销钉 M16x35 8.8级,销钉 M16x35 8.8级，国产，标准件,紧固件,销钉,片,16419.81,442,供应商A,M16x35 8.8级,启用
MAT-0605-6549,防爆电机 22kW 660V,防爆电机 22kW 660V，国产，标准件,电机,防爆电机,千克,8936.61,492,供应商C,22kW 660V,启用
MAT-0205-7120,异径管 DN300 20# GB/T,异径管 DN300 20# GB/T，国产，非标定制,管件,异径管,只,40031.62,55,供应商B,,启用
MAT-0403-7067,垫圈 M8x100 ○10.9级,垫圈 M8x100 10.9级，进口，标准件,紧固件,垫圈,kg,25361.05,341,供应商D,M8x100 10.9级,启用
MAT-0706-4845,支管台 DN100 304 HG/T,支管台 DN100 304 HG/T，进口，非标定制,管件,支管台,件,30779.59,154,供应商D,DN100 304 HG/T,启用
MAT-0503-3444,螺杆泵 50m³/h 80m,螺杆泵 50m³/h 80m，进口，非标定制,泵类,螺杆泵,根,33784.61,261,供应商D,50m³/h 80m,启用
MAT-0203-8446,INA 推力球轴承 25x35x10mm,INA 推力球轴承 25x35x10mm，进口，标准件,轴承,推力球轴承,米,7376.22,23,供应商B,推力球轴承 25x35x10mm,停用
MAT-0204-6791,INA 角接触球轴城 17x42x16mm,INA 角接触球轴承 17x42x16mm，进口，标准件,轴承,角接触球轴承,件,32806.34,2,供应商A,角接触球轴承 17x42x16mm,停用
MAT-0402-8487,螺母 M30x20 8.8级,螺母 M30x20 8.8级，国产，非标定制,紧固件,螺母,件,40072.82,341,,M30x20 8.8级,启用
MAT-0805-8271,变送器 0-10MPa,变送器 0-10MPa，进口，标准件,仪表,变送器,根,22508.99,384,供应商B,0-10MPa,启用
MAT-DUP-2975,温度计 0-10MPa,温度计 0-10MPa，国产，非标定制,仪表,温度计,米,13593.04,163,,0-10MPa,启用
